mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__max_iter,param_clf__penalty,param_clf__solver,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.1521526177724204,0.7753520731776412,1.4276756445566814,0.36535419006531245,0.1,,1000,l2,lbfgs,20000,1,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",0.6728325105773205,0.6733857324643414,0.6699392656946346,0.6720525029120988,0.0015112560486841848,351
7.024123748143514,0.9605524978458413,1.9497162501017253,0.3798036219529748,0.1,,1000,l2,lbfgs,20000,1,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",0.6840064970971022,0.6897593342939707,0.6852513308733039,0.6863390540881257,0.0024713208745480242,271
2.6439851919809976,0.5507878774205949,0.9428143501281738,0.028401153682487974,0.1,,1000,l2,lbfgs,20000,2,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 20000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6741783979361103,0.6737670434421523,0.6715601936627751,0.6731685450136792,0.001149608246575416,343
6.992841164271037,0.6772177735569315,2.2229045232137046,0.6602054114780754,0.1,,1000,l2,lbfgs,20000,2,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 20000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6837957940975726,0.6887298802270889,0.685378889802541,0.6859681880424008,0.002056980926017171,275
2.400838613510132,0.22334845279256826,1.1592877705891926,0.3243052027531797,0.1,,1000,l2,lbfgs,20000,5,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",0.6747774276489746,0.6740246498345258,0.6711005457332542,0.673300874405585,0.001585928394598787,331
7.2349739869435625,0.5950713506814074,2.1558783054351807,0.6967135340343551,0.1,,1000,l2,lbfgs,20000,5,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.683745179764451,0.688995693274129,0.6863842661298277,0.6863750463894692,0.0021435230784135027,269
3.0959694385528564,0.7935362655296804,0.9949343999226888,0.04043982223871358,0.1,,1000,l2,lbfgs,50000,1,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",0.6716074036618597,0.672404502397196,0.6702870109130582,0.671432972324038,0.0008732171417845957,357
8.651813983917236,1.1329759754765474,2.7400898138682046,0.8288881364844735,0.1,,1000,l2,lbfgs,50000,1,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",0.6823943345145987,0.6858603752209476,0.6835780925204306,0.683944267418659,0.0014384998173064842,287
2.1978379090627036,0.05168644956454173,1.0350652535756428,0.2388150669487248,0.1,,1000,l2,lbfgs,50000,2,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 50000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6741783979361103,0.6737670434421523,0.6715601936627751,0.6731685450136792,0.001149608246575416,343
8.704335769017538,0.4532559554537258,1.934902509053548,0.09011060495068136,0.1,,1000,l2,lbfgs,50000,2,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': None, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'tfidf__max_features': 50000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6823789838154412,0.6859437571179218,0.6839565782966192,0.684093106409994,0.001458511140130217,285
